,carat,cut,color,clarity,depth,table,price,x,y,z
12275,1.21,Very Good,J,VS2,61.5,58,5211,6.85,6.9,4.23
48052,0.54,Ideal,G,VVS2,61.9,55,1927,5.2,5.3,3.25
23809,1.55,Ideal,I,VVS1,62.1,56,11869,7.36,7.43,4.59
44943,0.55,Ideal,G,VS2,60.1,55,1634,5.33,5.37,3.22
1565,0.55,Ideal,F,VVS1,61.2,54,3005,5.3,5.35,3.26
35599,0.31,Ideal,H,VVS1,62.2,56,907,4.37,4.34,2.71
10969,1.08,Very Good,G,SI1,60.6,58,4906,6.58,6.73,4.03
49655,0.71,Very Good,H,SI2,61.8,58,2141,5.67,5.73,3.52
27635,2.4,Ideal,H,SI2,62,55,18541,8.6,8.57,5.32
14952,1.2,Premium,I,VS1,62.8,56,6021,6.8,6.74,4.25
53779,0.72,Very Good,G,VS2,62.5,59,2728,5.69,5.71,3.56
9455,1.2,Ideal,I,SI2,63,57,4596,6.77,6.7,4.24
44761,0.52,Very Good,E,VS2,62.8,55,1621,5.11,5.15,3.22
123,0.7,Very Good,F,VS2,61.7,63,2762,5.64,5.61,3.47
53725,0.71,Ideal,I,SI1,61.5,55,2721,5.76,5.79,3.55
19030,0.27,Very Good,E,VVS2,63.8,54,621,4.06,4.09,2.6
2196,0.9,Good,E,SI2,64.1,57,3139,6.07,6.09,3.9
1325,0.74,Fair,G,VVS2,65.2,58,2959,5.7,5.6,3.69
37211,0.34,Ideal,G,IF,60.9,56,974,4.5,4.53,2.75
11321,1.12,Premium,I,VS2,62.8,57,4986,6.68,6.61,4.17
18405,1.4,Premium,F,SI2,59.9,60,7479,7.38,7.29,4.39
28307,0.3,Very Good,H,SI1,62.9,59,432,4.24,4.28,2.68
19417,1.12,Very Good,G,VVS1,58.9,60,8072,6.78,6.91,4.03
21343,1.21,Very Good,G,VVS2,60.4,56,9484,6.88,6.92,4.17
16215,1.09,Ideal,G,VS2,62.3,57,6480,6.6,6.57,4.1
37709,0.4,Ideal,G,VVS1,62.6,57,995,4.66,4.73,2.94
29592,0.32,Ideal,D,SI1,62.9,56,706,4.4,4.38,2.76
38254,0.31,Very Good,J,VS2,62.7,58,380,4.3,4.34,2.71
25431,1.5,Premium,E,VS2,62.3,60,14179,7.27,7.2,4.51
53814,0.7,Very Good,D,SI1,63.4,58,2734,5.63,5.66,3.58
5671,0.91,Ideal,G,SI1,62.6,57,3884,6.16,6.21,3.87
44857,0.5,Very Good,D,VS2,63.4,57,1627,5.05,5.08,3.21
22142,1.52,Premium,E,SI1,60.2,58,10180,7.44,7.37,4.46
44607,0.53,Premium,G,VS2,62.6,58,1607,5.18,5.11,3.22
44085,0.6,Very Good,G,SI1,61.1,57,1554,5.36,5.47,3.31
26299,1.7,Premium,G,VS2,59,58,15797,7.8,7.85,4.62
37844,0.33,Ideal,D,VS2,62.5,55,1002,4.45,4.41,2.77
24803,2.1,Ideal,I,SI1,61.7,55,13182,8.21,8.13,5.04
34473,0.38,Very Good,E,VS2,60.3,58,866,4.67,4.72,2.83
12926,1.01,Good,F,SI1,62.4,59,5378,6.29,6.33,3.94
12666,1.02,Very Good,I,VS1,62.2,60,5302,6.4,6.43,3.99
15988,1.01,Very Good,E,VS2,60.9,57,6399,6.41,6.47,3.92
51902,0.66,Premium,E,VS1,60.8,59,2433,5.58,5.6,3.4
17313,1,Very Good,D,VS2,61.2,60,6937,6.4,6.42,3.92
40119,0.41,Ideal,F,VVS2,61,56,1115,4.78,4.82,2.93
19160,1.08,Ideal,F,VS2,62.3,54,7917,6.6,6.56,4.1
39218,0.32,Ideal,D,VS2,61.7,55,1066,4.39,4.42,2.72
16234,1.15,Premium,G,VS2,61.5,58,6492,6.76,6.71,4.14
37654,0.33,Ideal,G,IF,61.5,56,992,4.46,4.48,2.75
33479,0.32,Ideal,F,VS2,61.6,57,828,4.43,4.4,2.72
10156,1.01,Very Good,D,SI2,61.9,58,4727,6.43,6.49,4
15311,1.03,Premium,G,VS2,62.1,57,6146,6.48,6.41,4
36965,0.41,Premium,G,VS1,62.5,59,961,4.77,4.73,2.97
24961,1.68,Premium,G,VS1,58.2,57,13445,7.89,7.85,4.58
2227,0.9,Fair,G,SI1,65.4,57,3145,6.04,5.95,3.92
31158,0.41,Ideal,E,SI1,62.6,57,755,4.72,4.73,2.96
42693,0.54,Good,H,VS2,63.2,55,1338,5.2,5.24,3.3
27465,2.03,Very Good,D,SI2,62.4,59,18120,7.98,8.04,5
3188,0.73,Ideal,G,VS1,62,55,3342,5.74,5.79,3.58
2716,0.33,Ideal,H,SI1,60.6,56,564,4.46,4.49,2.72
9920,1.13,Very Good,H,SI1,63.3,56,4689,6.65,6.62,4.2
27709,0.32,Ideal,H,VS2,62.5,55,648,4.42,4.38,2.75
42751,0.51,Very Good,H,VS1,62.5,58,1343,5.09,5.12,3.19
37554,0.32,Ideal,D,VVS1,62.1,54,988,4.43,4.4,2.74
44885,0.5,Ideal,E,VS2,62.9,54,1629,5.14,5.1,3.22
4043,0.84,Premium,E,VS2,62.4,60,3528,6.04,5.98,3.75
11856,1.07,Ideal,I,VS1,62.2,58,5103,6.52,6.57,4.07
34405,0.34,Ideal,H,IF,61.7,55,863,4.5,4.54,2.79
39784,0.36,Ideal,D,VS2,61.1,57,1094,4.62,4.58,2.81
41924,0.5,Premium,E,SI2,60.1,60,1262,5.13,5.05,3.06
20714,0.31,Ideal,G,VS1,61.4,56,625,4.36,4.37,2.68
40687,0.46,Premium,E,VS2,61.3,57,1156,5.02,4.99,3.07
27945,0.23,Very Good,G,VVS2,62.8,55,431,3.93,3.95,2.47
21213,1.62,Very Good,E,SI2,60.8,59,9355,7.57,7.62,4.62
17254,1.02,Very Good,G,VS2,60.5,60,6906,6.53,6.49,3.94
24817,3,Premium,G,I1,59.7,60,13203,9.42,9.26,5.58
3935,0.71,Ideal,F,VVS2,62,57,3499,5.7,5.65,3.52
11317,1.05,Very Good,I,VS2,63.2,59,4986,6.47,6.44,4.08
29524,0.38,Ideal,I,VS1,62.3,55,703,4.63,4.66,2.89
46970,0.32,Ideal,I,VS1,61.4,55.3,529,4.39,4.42,2.7
26607,1.52,Ideal,G,VVS1,61.4,57,16343,7.38,7.4,4.54
17138,1.5,Fair,H,SI1,65,57,6838,7.1,7.06,4.6
30094,0.32,Ideal,H,VS1,62.9,54,720,4.41,4.37,2.76
17977,1.1,Very Good,F,VS2,62.7,58.5,7272,6.5,6.59,4.1
16612,1.03,Ideal,H,VVS2,62.2,55,6638,6.43,6.49,4.03
46354,0.61,Good,D,SI1,59,57,1759,5.54,5.57,3.28
35807,0.31,Ideal,F,IF,61.3,57,914,4.34,4.37,2.67
37064,0.43,Premium,F,VS2,59.8,58,968,4.94,4.89,2.94
28055,0.32,Ideal,F,VS2,61.4,57,660,4.4,4.43,2.71
39143,0.41,Ideal,G,VS2,62.2,57,1061,4.74,4.71,2.94
24486,1.51,Good,G,VS2,63.3,60,12756,7.2,7.28,4.58
16370,0.33,Ideal,D,SI1,62.7,55,608,4.4,4.44,2.77
49417,0.6,Premium,D,SI1,62.8,61,2106,5.41,5.33,3.37
1110,0.8,Very Good,F,SI1,63.5,55,2914,5.86,5.89,3.73
31007,0.29,Ideal,F,IF,61.9,56,748,4.27,4.3,2.65
27525,2.03,Very Good,G,SI1,61.3,59,18257,8.08,8.11,4.96
34175,0.33,Premium,G,VS1,62.4,59,854,4.47,4.41,2.77
29810,0.3,Premium,D,SI1,61,61,709,4.29,4.27,2.61
7415,1.02,Ideal,H,SI2,60.5,60,4225,6.56,6.53,3.96
43731,0.51,Very Good,G,VS2,62.9,58,1438,5.06,5.11,3.2
35923,0.43,Ideal,E,SI2,62.1,56,919,4.85,4.84,3.01
30392,0.33,Ideal,H,VVS1,61.5,55,730,4.44,4.47,2.74
38959,0.31,Good,H,VS2,63.2,58,489,4.31,4.33,2.73
47656,0.34,Ideal,D,I1,61.4,55,530,4.52,4.5,2.77
52952,0.24,Very Good,D,VVS2,62.9,58,552,3.96,3.99,2.5
19542,1.55,Very Good,H,SI2,62.5,61,8174,7.31,7.34,4.58
1201,0.8,Premium,H,VS1,62,60,2935,5.92,5.86,3.65
33837,0.3,Ideal,E,VVS1,62,57,844,4.29,4.32,2.67
12738,1.11,Ideal,H,SI1,60.2,54,5315,6.82,6.7,4.07
16387,1.32,Premium,G,SI1,62.1,59,6542,7.03,6.99,4.35
46687,0.59,Ideal,E,SI1,61.1,56,1790,5.38,5.44,3.31
28717,0.23,Premium,D,VVS2,60.4,59,680,4,3.95,2.4
19834,1.11,Ideal,G,VS2,61.6,56,8400,6.62,6.65,4.09
11247,1.05,Good,E,SI1,64.2,61,4967,6.41,6.33,4.09
26070,2.03,Ideal,I,SI1,62.9,57,15291,8.06,8.02,5.06
22270,1.51,Very Good,H,VS2,63,57,10319,7.25,7.3,4.58
43206,0.62,Ideal,G,SI2,60.6,57,1395,5.53,5.56,3.36
20025,0.32,Very Good,G,SI2,62.4,59,421,4.35,4.4,2.73
7543,1.01,Very Good,E,SI2,63.3,58,4244,6.36,6.3,4.01
22113,1.24,Ideal,F,VS1,60.9,54,10138,6.98,6.95,4.24
40743,0.36,Ideal,G,VVS1,61.7,55,1163,4.58,4.6,2.83
45917,0.53,Ideal,E,VS2,61.4,56,1721,5.18,5.25,3.2
1036,0.53,Ideal,D,VVS1,62.5,54,2905,5.16,5.21,3.24
8640,1.06,Premium,I,SI1,61.9,59,4452,6.52,6.5,4.03
31357,0.27,Ideal,F,IF,61.4,57,760,4.17,4.19,2.57
52165,0.76,Ideal,I,SI1,62.3,57,2474,5.81,5.87,3.64
26368,0.32,Good,H,VVS2,63.4,56,645,4.34,4.37,2.76
22978,1.5,Very Good,H,VS2,60.7,61,11025,7.34,7.41,4.48
20939,1.16,Premium,G,VVS2,60,59,9146,6.89,6.82,4.11
10232,1.06,Ideal,I,SI1,61.9,54,4745,6.56,6.59,4.07
35617,0.3,Very Good,H,VS2,62.7,59,473,4.22,4.27,2.66
41665,0.51,Very Good,E,SI2,63.3,56,1239,5.12,5.08,3.23
28604,0.3,Premium,E,SI1,59.8,60,675,4.35,4.31,2.59
10714,0.31,Premium,D,SI2,60.1,60,593,4.41,4.38,2.64
244,0.77,Good,F,SI1,64.2,52,2789,5.81,5.77,3.72
26117,2.06,Premium,I,VS1,58.4,55,15393,8.42,8.35,4.9
49657,0.7,Very Good,G,SI2,60.7,58,2141,5.74,5.8,3.5
52708,0.8,Premium,H,SI1,62.5,59,2553,5.96,5.91,3.71
35107,0.3,Ideal,F,IF,62.5,54,886,4.31,4.33,2.7
8057,0.23,Very Good,F,VVS1,62.8,54,583,3.92,3.94,2.47
12337,1.1,Ideal,G,SI1,62.3,56,5226,6.64,6.58,4.12
37905,0.41,Ideal,G,VVS2,61,57,1007,4.78,4.8,2.92
36139,0.33,Ideal,E,VS2,61.2,56,928,4.47,4.45,2.73
21518,1.5,Very Good,I,VVS2,64,54,9618,7.19,7.27,4.63
38405,0.35,Ideal,H,VVS1,61.7,56,1024,4.55,4.53,2.8
34818,0.36,Premium,E,VS2,62.5,58,878,4.57,4.52,2.84
12498,1.15,Very Good,E,SI2,60,59,5257,6.78,6.82,4.08
19185,1.5,Ideal,G,SI2,61.5,57,7936,7.33,7.39,4.53
33158,0.31,Ideal,G,VVS1,62.5,54,816,4.33,4.37,2.72
36886,0.34,Ideal,F,VVS1,61.7,55,959,4.51,4.5,2.78
38572,0.4,Premium,H,VS1,62.6,58,1035,4.73,4.66,2.94
20706,0.31,Ideal,F,VS2,60.8,57,625,4.36,4.39,2.66
14077,1.2,Ideal,H,SI2,61.6,57,5712,6.84,6.79,4.2
21513,1.56,Good,I,VS2,57.2,62,9609,7.66,7.72,4.4
17524,1.12,Good,F,VS2,63.8,57,7051,6.61,6.59,4.21
24490,1.52,Ideal,H,VVS2,62.8,56,12764,7.32,7.3,4.59
23331,1.24,Ideal,G,IF,62.4,56,11376,6.86,6.89,4.29
26357,0.32,Ideal,G,VS1,61.3,55,645,4.42,4.46,2.72
49383,0.51,Very Good,G,IF,62.6,56,2102,5.09,5.13,3.2
38262,0.26,Premium,H,VS1,62.3,59,382,4.06,4.1,2.54
10276,1.04,Ideal,G,SI2,62,56,4752,6.52,6.49,4.03
26400,2.39,Premium,H,SI1,61.8,58,15917,8.57,8.52,5.28
32058,0.33,Premium,I,VVS1,61.9,60,780,4.44,4.41,2.74
42698,0.52,Premium,F,SI1,59.5,59,1338,5.31,5.24,3.14
33510,0.4,Very Good,J,IF,62.2,61,828,4.68,4.71,2.92
38374,0.51,Ideal,J,SI1,62.5,58,1023,5.11,5.13,3.2
19602,1.4,Premium,H,SI1,62.4,57,8223,7.19,7.11,4.46
23381,0.36,Premium,H,VS1,60.5,59,631,4.6,4.63,2.79
31553,0.38,Ideal,F,SI1,61.7,56,766,4.68,4.72,2.9
11062,0.28,Good,F,VVS2,61.2,62,596,4.16,4.21,2.56
34482,0.4,Very Good,F,VS2,63.6,56,867,4.66,4.68,2.97
32446,0.43,Very Good,H,VS2,61.9,55,792,4.8,4.95,3.02
38181,0.41,Ideal,D,SI1,60.8,57,1015,4.84,4.8,2.93
39933,0.3,Premium,H,VS1,62.1,59,491,4.25,4.28,2.65
39335,0.4,Ideal,D,VS1,60.6,56,1072,4.82,4.78,2.91
24976,1.71,Ideal,H,SI1,61.8,57,13477,7.74,7.69,4.76
23253,1.4,Very Good,G,VS1,62.6,58,11262,7.03,7.07,4.41
4796,1.2,Fair,H,SI2,65.6,57,3696,6.73,6.57,4.36
51994,0.72,Ideal,H,VS2,62,56,2443,5.8,5.74,3.58
29756,0.3,Premium,D,SI1,63,58,709,4.27,4.24,2.68
7856,0.9,Premium,D,SI1,59.4,62,4304,6.24,6.19,3.69
5220,0.91,Good,D,SI2,63.8,58,3781,6.09,6.04,3.87
26485,2.03,Premium,H,SI2,61.6,58,16075,8.17,8.09,5.01
32130,0.41,Very Good,G,SI2,63.4,58,784,4.73,4.7,2.99
3185,1.02,Good,I,SI2,57.1,62,3342,6.66,6.58,3.78
20634,1.27,Very Good,F,VS2,60.7,61,8928,6.97,7.01,4.24
5486,0.9,Very Good,G,SI1,62,58,3841,6.14,6.18,3.82
23169,1.2,Good,F,VVS1,63.6,57,11182,6.74,6.71,4.28
10393,0.31,Ideal,G,SI1,62.8,55,593,4.38,4.32,2.73
25559,2.15,Ideal,I,SI2,61.7,55,14388,8.24,8.43,5.14
10345,1.01,Premium,H,VS2,62.4,58,4769,6.42,6.36,3.99
3303,0.8,Premium,F,VS2,62,61,3369,5.99,5.91,3.69
40131,0.41,Premium,F,VVS2,62.4,58,1115,4.7,4.76,2.95
2527,1.04,Good,J,SI2,63.8,56,3204,6.36,6.32,4.05
31967,0.26,Ideal,D,VS1,62,55,452,4.1,4.12,2.55
33152,0.31,Premium,E,VVS2,60.4,59,816,4.34,4.37,2.63
10485,1.01,Premium,F,SI2,62.2,57,4796,6.43,6.36,3.98
26052,1.51,Premium,F,VS2,59.1,60,15253,7.52,7.45,4.42
11996,1.03,Ideal,G,SI1,61.1,57,5147,6.54,6.58,4.01
35910,0.4,Ideal,H,VS2,60.9,56,919,4.79,4.83,2.93
27098,2.01,Premium,H,SI1,62.3,58,17235,8.04,7.99,4.99
38498,0.42,Ideal,G,VVS2,62.7,56,1031,4.74,4.77,2.98
41440,0.46,Good,F,VS1,59.2,63,1228,5,5.03,2.97
19132,1.06,Very Good,E,VS1,63,58,7900,6.46,6.49,4.08
3436,0.91,Very Good,G,SI2,62,58,3387,6.13,6.2,3.82
30866,0.33,Premium,G,VS2,62.6,58,743,4.44,4.41,2.77
11795,1.12,Very Good,G,SI1,59.5,62,5088,6.76,6.81,4.04
29099,0.36,Ideal,D,SI2,62.3,57,689,4.57,4.52,2.83
6308,1.01,Very Good,H,SI2,63.9,56,4023,6.29,6.38,4.05
33880,0.3,Premium,E,VS2,60.7,59,844,4.33,4.3,2.62
7278,1,Ideal,I,SI1,59.8,57,4200,6.5,6.44,3.87
50787,0.8,Premium,E,SI2,59.1,61,2304,6.03,5.99,3.55
48762,0.56,Premium,F,VS1,58.2,60,2016,5.41,5.38,3.14
50505,0.71,Good,I,VS2,64.3,63,2270,5.63,5.56,3.6
35585,0.35,Premium,F,VS2,61.8,58,906,4.52,4.48,2.78
10302,1.01,Very Good,D,SI2,62.9,60,4760,6.35,6.46,4.03
10284,1.11,Premium,G,SI2,61.2,59,4755,6.74,6.66,4.1
34119,0.31,Ideal,E,VVS1,62.5,54,853,4.33,4.37,2.72
38422,0.3,Premium,E,IF,61,59,1026,4.29,4.33,2.63
32620,0.3,Ideal,I,VS1,62.3,55,457,4.3,4.34,2.69
52769,0.72,Good,F,SI1,64,61,2563,5.67,5.62,3.61
7737,0.43,Premium,H,I1,62,59,581,4.83,4.78,2.98
2957,0.82,Premium,E,SI1,62.5,56,3295,6.01,5.96,3.74
13200,1.02,Premium,F,SI1,61,59,5455,6.58,6.47,3.98
52749,0.7,Good,E,VS2,59.2,64,2559,5.8,5.75,3.42
30205,0.34,Ideal,F,VS1,60.9,57,723,4.53,4.56,2.77
24403,1.51,Premium,E,SI1,58.3,59,12644,7.52,7.47,4.37
20462,1.17,Ideal,F,VS1,62.2,56,8806,6.77,6.74,4.2
11420,0.9,Very Good,E,VS1,62.3,56,5001,6.1,6.19,3.83
11279,1.35,Premium,J,VS2,61.2,61,4974,7.13,7.08,4.35
340,0.78,Premium,G,VS2,60.8,58,2803,6.03,5.95,3.64
7781,0.9,Ideal,F,SI1,61.5,56,4284,6.25,6.2,3.83
40195,0.41,Ideal,G,VS1,61.1,55,1121,4.79,4.83,2.94
30165,0.4,Very Good,D,VS2,60.5,58,720,4.76,4.82,2.9
22857,1.2,Very Good,F,VVS2,62.9,59,10891,6.72,6.76,4.24
23175,1.5,Premium,H,VS1,62.1,59,11189,7.31,7.27,4.53
2473,0.76,Ideal,E,VS2,61.5,56,3192,5.92,5.89,3.63
10947,1.01,Premium,F,SI1,61.8,59,4899,6.34,6.41,3.94
25348,1.76,Ideal,I,VVS2,60.2,58,14065,7.84,7.87,4.73
9929,1.05,Premium,H,SI1,61.9,58,4692,6.5,6.45,4.01
22481,1.19,Ideal,G,VVS1,61.6,59,10508,6.78,6.79,4.18
17848,1.07,Ideal,G,VS1,62,56,7198,6.58,6.52,4.06
17981,1.7,Ideal,H,SI2,62.1,57,7273,7.68,7.63,4.75
16546,1.37,Very Good,G,SI2,62.8,57,6609,7.06,7.12,4.45
24031,0.35,Ideal,G,VS2,61,57,633,4.54,4.57,2.78
45511,0.55,Ideal,F,VS1,60.3,57,1682,5.32,5.37,3.23
43306,0.6,Very Good,I,VS2,60.6,60,1402,5.46,5.49,3.32
39489,0.41,Very Good,E,VS1,62.2,57,1079,4.74,4.78,2.96
35696,0.3,Ideal,E,VS1,61.7,57,911,4.31,4.28,2.65
36420,0.42,Very Good,D,SI1,63.3,58,942,4.75,4.73,3
1965,0.73,Ideal,G,SI1,60.6,57,3089,5.84,5.87,3.55
32067,0.33,Ideal,D,SI1,62.7,55,780,4.44,4.4,2.77
25515,2.03,Ideal,E,SI2,62.3,56,14308,8.11,8.09,5.05
5515,0.9,Very Good,F,SI1,63.6,58,3848,6.08,6.12,3.88
52442,0.7,Very Good,E,SI2,62.6,57,2514,5.64,5.67,3.54
43354,0.5,Good,E,VS2,63.7,59,1407,4.99,5.03,3.19
16063,1.01,Very Good,F,VS2,62.8,59,6416,6.33,6.41,4
